tourney_id,tourney_name,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ioc,loser_id,loser_name,loser_hand,loser_ioc,score,round,tourney_year
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,36,200062,Kristina Brandi,R,PUR,200768,Laurence Andretto,R,FRA,6-2 6-1,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,37,200769,Giulia Casoni,R,ITA,200076,Laurence Courtois,R,BEL,1-6 7-6(3) 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,38,200011,Katarina Srebotnik,R,SLO,200100,Amanda Hopmans,R,NED,4-6 7-5 6-3,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,39,200019,Alexandra Fusai,R,FRA,200056,Jelena Kostanic Tosic,L,CRO,7-5 6-1,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,40,200032,Barbara Schett,R,AUT,200050,Sandra Kleinova,R,CZE,6-3 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,41,200081,Anke Huber,R,GER,200069,Nadia Petrova,R,RUS,3-6 6-4 7-5,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,42,200125,Corina Morariu,R,USA,200024,Maria Vento Kabchi,R,VEN,6-1 6-2,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,43,200732,Magdalena Grzybowska,R,POL,200048,Elena Likhovtseva,R,RUS,6-0 2-6 7-5,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,44,200057,Erika De Lone,R,USA,200078,Barbara Schwartz,L,AUT,6-3 6-2,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,45,200671,Meike Babel,R,GER,200770,Stephanie Cohen Aloro,R,FRA,6-4 6-7(4) 6-1,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,46,200104,Emilie Loit,L,FRA,200036,Nicole Pratt,R,AUS,6-3 6-2,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,47,200009,Tamarine Tanasugarn,R,THA,200771,Sophie Erre,R,FRA,7-6(6) 7-6(5),R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,48,200748,Venus Williams,R,USA,200101,Jana Kandarr,R,GER,6-0 6-3,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,49,200049,Conchita Martinez,R,ESP,200121,Alina Jidkova,R,RUS,6-2 6-3,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,50,200072,Cara Black,R,ZIM,200772,Anastasia Myskina,R,RUS,2-6 7-6(4) 6-2,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,51,200773,Stephanie Foretz Gacon,R,FRA,200008,Alicia Molik,R,AUS,6-4 6-2,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,52,200700,Silvia Farina Elia,R,ITA,200035,Maria Sanchez Lorenzo,R,ESP,6-3 6-1,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,53,200085,Ai Sugiyama,R,JPN,200079,Kim Clijsters,R,BEL,6-2 3-6 6-2,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,54,200088,Adriana Gersi,R,CZE,200706,Catalina Cristea,R,ROU,6-4 6-3,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,55,200054,Sylvia Plischke,R,AUT,200002,Mirjana Lucic,R,CRO,6-2 6-0,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,56,200113,Anna Kournikova,R,RUS,200774,Vanessa Webb,L,CAN,6-4 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,57,200064,Amanda Coetzer,R,RSA,200028,Maureen Drake,R,CAN,6-0 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,58,200061,Gala Leon Garcia,L,ESP,200111,Lina Krasnoroutskaya,R,RUS,7-6(4) 6-1,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,59,200709,Rossana De Los Rios,R,PAR,200030,Miroslava Vavrinec,R,SUI,6-4 7-6(6),R128,2000
